TIMESTAMP,RECORD,year,dayofyear,hours,minutes,Rain,Rintensity_Avg,Hail
10/1/16 0:00,585126,2016,275,0,0,41.29,0,0
10/1/16 0:01,585127,2016,275,0,1,41.29,0,0
10/1/16 0:02,585128,2016,275,0,2,41.29,0,0
10/1/16 0:03,585129,2016,275,0,3,41.29,0,0
10/1/16 0:04,585130,2016,275,0,4,41.29,0,0
10/1/16 0:05,585131,2016,275,0,5,41.29,0,0
10/1/16 0:06,585132,2016,275,0,6,41.29,0,0
10/1/16 0:07,585133,2016,275,0,7,41.29,0,0
10/1/16 0:08,585134,2016,275,0,8,41.29,0,0
10/1/16 0:09,585135,2016,275,0,9,41.29,0,0
10/1/16 0:10,585136,2016,275,0,10,41.29,0,0
10/1/16 0:11,585137,2016,275,0,11,41.29,0,0
10/1/16 0:12,585138,2016,275,0,12,41.29,0,0
10/1/16 0:13,585139,2016,275,0,13,41.29,0,0
10/1/16 0:14,585140,2016,275,0,14,41.29,0,0
10/1/16 0:15,585141,2016,275,0,15,41.29,0,0
10/1/16 0:16,585142,2016,275,0,16,41.29,0,0
10/1/16 0:17,585143,2016,275,0,17,41.29,0,0
10/1/16 0:18,585144,2016,275,0,18,41.29,0,0
10/1/16 0:19,585145,2016,275,0,19,41.29,0,0
10/1/16 0:20,585146,2016,275,0,20,41.29,0,0
10/1/16 0:21,585147,2016,275,0,21,41.29,0,0
10/1/16 0:22,585148,2016,275,0,22,41.29,0,0
10/1/16 0:23,585149,2016,275,0,23,41.29,0,0
10/1/16 0:24,585150,2016,275,0,24,41.29,0,0
10/1/16 0:25,585151,2016,275,0,25,41.29,0,0
10/1/16 0:26,585152,2016,275,0,26,41.29,0,0
10/1/16 0:27,585153,2016,275,0,27,41.29,0,0
10/1/16 0:28,585154,2016,275,0,28,41.29,0,0
10/1/16 0:29,585155,2016,275,0,29,41.29,0,0
10/1/16 0:30,585156,2016,275,0,30,41.29,0,0
10/1/16 0:31,585157,2016,275,0,31,41.29,0,0
10/1/16 0:32,585158,2016,275,0,32,41.29,0,0
10/1/16 0:33,585159,2016,275,0,33,41.29,0,0
10/1/16 0:34,585160,2016,275,0,34,41.29,0,0
10/1/16 0:35,585161,2016,275,0,35,41.29,0,0
10/1/16 0:36,585162,2016,275,0,36,41.29,0,0
10/1/16 0:37,585163,2016,275,0,37,41.29,0,0
10/1/16 0:38,585164,2016,275,0,38,41.29,0,0
10/1/16 0:39,585165,2016,275,0,39,41.29,0,0
10/1/16 0:40,585166,2016,275,0,40,41.29,0,0
10/1/16 0:41,585167,2016,275,0,41,41.29,0,0
10/1/16 0:42,585168,2016,275,0,42,41.29,0,0
10/1/16 0:43,585169,2016,275,0,43,41.29,0,0
10/1/16 0:44,585170,2016,275,0,44,41.29,0,0
10/1/16 0:45,585171,2016,275,0,45,41.29,0,0
10/1/16 0:46,585172,2016,275,0,46,41.29,0,0
10/1/16 0:47,585173,2016,275,0,47,41.29,0,0
10/1/16 0:48,585174,2016,275,0,48,41.29,0,0
10/1/16 0:49,585175,2016,275,0,49,41.29,0,0
