TIMESTAMP,RECORD,year,dayofyear,hours,minutes,Rain,Rintensity_Avg
1/1/17 0:00,716154,2017,1,0,0,241.58,0
1/1/17 0:01,716155,2017,1,0,1,241.58,0
1/1/17 0:02,716156,2017,1,0,2,241.58,0
1/1/17 0:03,716157,2017,1,0,3,241.58,0
1/1/17 0:04,716158,2017,1,0,4,241.58,0
1/1/17 0:05,716159,2017,1,0,5,241.58,0
1/1/17 0:06,716160,2017,1,0,6,241.58,0
1/1/17 0:07,716161,2017,1,0,7,241.58,0
1/1/17 0:08,716162,2017,1,0,8,241.58,0
1/1/17 0:09,716163,2017,1,0,9,241.58,0
1/1/17 0:10,716164,2017,1,0,10,241.58,0
1/1/17 0:11,716165,2017,1,0,11,241.58,0
1/1/17 0:12,716166,2017,1,0,12,241.58,0
1/1/17 0:13,716167,2017,1,0,13,241.58,0
1/1/17 0:14,716168,2017,1,0,14,241.58,0
1/1/17 0:15,716169,2017,1,0,15,241.58,0
1/1/17 0:16,716170,2017,1,0,16,241.58,0
1/1/17 0:17,716171,2017,1,0,17,241.58,0
1/1/17 0:18,716172,2017,1,0,18,241.58,0
1/1/17 0:19,716173,2017,1,0,19,241.58,0
1/1/17 0:20,716174,2017,1,0,20,241.58,0
1/1/17 0:21,716175,2017,1,0,21,241.58,0
1/1/17 0:22,716176,2017,1,0,22,241.58,0
1/1/17 0:23,716177,2017,1,0,23,241.58,0
1/1/17 0:24,716178,2017,1,0,24,241.58,0
1/1/17 0:25,716179,2017,1,0,25,241.58,0
1/1/17 0:26,716180,2017,1,0,26,241.58,0
1/1/17 0:27,716181,2017,1,0,27,241.58,0
1/1/17 0:28,716182,2017,1,0,28,241.58,0
1/1/17 0:29,716183,2017,1,0,29,241.58,0
1/1/17 0:30,716184,2017,1,0,30,241.58,0
1/1/17 0:31,716185,2017,1,0,31,241.58,0
1/1/17 0:32,716186,2017,1,0,32,241.58,0
1/1/17 0:33,716187,2017,1,0,33,241.58,0
1/1/17 0:34,716188,2017,1,0,34,241.58,0
1/1/17 0:35,716189,2017,1,0,35,241.58,0
1/1/17 0:36,716190,2017,1,0,36,241.58,0
1/1/17 0:37,716191,2017,1,0,37,241.58,0
1/1/17 0:38,716192,2017,1,0,38,241.58,0
1/1/17 0:39,716193,2017,1,0,39,241.58,0
1/1/17 0:40,716194,2017,1,0,40,241.58,0
1/1/17 0:41,716195,2017,1,0,41,241.58,0
1/1/17 0:42,716196,2017,1,0,42,241.58,0
1/1/17 0:43,716197,2017,1,0,43,241.58,0
1/1/17 0:44,716198,2017,1,0,44,241.58,0
1/1/17 0:45,716199,2017,1,0,45,241.58,0
1/1/17 0:46,716200,2017,1,0,46,241.58,0
1/1/17 0:47,716201,2017,1,0,47,241.58,0
1/1/17 0:48,716202,2017,1,0,48,241.58,0
1/1/17 0:49,716203,2017,1,0,49,241.58,0
1/1/17 0:50,716204,2017,1,0,50,241.58,0
1/1/17 0:51,716205,2017,1,0,51,241.58,0
1/1/17 0:52,716206,2017,1,0,52,241.58,0
1/1/17 0:53,716207,2017,1,0,53,241.58,0
1/1/17 0:54,716208,2017,1,0,54,241.58,0
1/1/17 0:55,716209,2017,1,0,55,241.58,0
1/1/17 0:56,716210,2017,1,0,56,241.58,0
1/1/17 0:57,716211,2017,1,0,57,241.58,0
1/1/17 0:58,716212,2017,1,0,58,241.58,0
1/1/17 0:59,716213,2017,1,0,59,241.58,0
1/1/17 1:00,716214,2017,1,1,0,241.58,0
1/1/17 1:01,716215,2017,1,1,1,241.58,0
1/1/17 1:02,716216,2017,1,1,2,241.58,0
1/1/17 1:03,716217,2017,1,1,3,241.58,0
1/1/17 1:04,716218,2017,1,1,4,241.58,0
1/1/17 1:05,716219,2017,1,1,5,241.58,0
1/1/17 1:06,716220,2017,1,1,6,241.58,0
1/1/17 1:07,716221,2017,1,1,7,241.58,0
1/1/17 1:08,716222,2017,1,1,8,241.58,0
1/1/17 1:09,716223,2017,1,1,9,241.58,0
1/1/17 1:10,716224,2017,1,1,10,241.58,0
1/1/17 1:11,716225,2017,1,1,11,241.58,0
1/1/17 1:12,716226,2017,1,1,12,241.58,0
1/1/17 1:13,716227,2017,1,1,13,241.58,0
1/1/17 1:14,716228,2017,1,1,14,241.58,0
1/1/17 1:15,716229,2017,1,1,15,241.58,0
1/1/17 1:16,716230,2017,1,1,16,241.58,0
1/1/17 1:17,716231,2017,1,1,17,241.58,0
1/1/17 1:18,716232,2017,1,1,18,241.58,0
1/1/17 1:19,716233,2017,1,1,19,241.58,0
1/1/17 1:20,716234,2017,1,1,20,241.58,0
1/1/17 1:21,716235,2017,1,1,21,241.58,0
1/1/17 1:22,716236,2017,1,1,22,241.58,0
1/1/17 1:23,716237,2017,1,1,23,241.58,0
1/1/17 1:24,716238,2017,1,1,24,241.58,0
1/1/17 1:25,716239,2017,1,1,25,241.58,0
1/1/17 1:26,716240,2017,1,1,26,241.58,0
1/1/17 1:27,716241,2017,1,1,27,241.58,0
1/1/17 1:28,716242,2017,1,1,28,241.58,0
1/1/17 1:29,716243,2017,1,1,29,241.58,0
1/1/17 1:30,716244,2017,1,1,30,241.58,0
1/1/17 1:31,716245,2017,1,1,31,241.58,0
1/1/17 1:32,716246,2017,1,1,32,241.58,0
1/1/17 1:33,716247,2017,1,1,33,241.58,0
1/1/17 1:34,716248,2017,1,1,34,241.58,0
1/1/17 1:35,716249,2017,1,1,35,241.58,0
1/1/17 1:36,716250,2017,1,1,36,241.58,0
1/1/17 1:37,716251,2017,1,1,37,241.58,0
1/1/17 1:38,716252,2017,1,1,38,241.58,0
1/1/17 1:39,716253,2017,1,1,39,241.58,0
1/1/17 1:40,716254,2017,1,1,40,241.58,0
1/1/17 1:41,716255,2017,1,1,41,241.58,0
1/1/17 1:42,716256,2017,1,1,42,241.58,0
1/1/17 1:43,716257,2017,1,1,43,241.58,0
1/1/17 1:44,716258,2017,1,1,44,241.58,0
1/1/17 1:45,716259,2017,1,1,45,241.58,0
1/1/17 1:46,716260,2017,1,1,46,241.58,0
1/1/17 1:47,716261,2017,1,1,47,241.58,0
1/1/17 1:48,716262,2017,1,1,48,241.58,0
1/1/17 1:49,716263,2017,1,1,49,241.58,0
1/1/17 1:50,716264,2017,1,1,50,241.58,0
1/1/17 1:51,716265,2017,1,1,51,241.58,0
1/1/17 1:52,716266,2017,1,1,52,241.58,0
1/1/17 1:53,716267,2017,1,1,53,241.58,0
1/1/17 1:54,716268,2017,1,1,54,241.58,0
1/1/17 1:55,716269,2017,1,1,55,241.58,0
1/1/17 1:56,716270,2017,1,1,56,241.58,0
1/1/17 1:57,716271,2017,1,1,57,241.58,0
1/1/17 1:58,716272,2017,1,1,58,241.58,0
1/1/17 1:59,716273,2017,1,1,59,241.58,0
1/1/17 2:00,716274,2017,1,2,0,241.58,0
1/1/17 2:01,716275,2017,1,2,1,241.58,0
1/1/17 2:02,716276,2017,1,2,2,241.58,0
1/1/17 2:03,716277,2017,1,2,3,241.58,0
1/1/17 2:04,716278,2017,1,2,4,241.58,0
