TIMESTAMP,RECORD,year,dayofyear,hours,minutes,Rain,Rintensity_Avg,Hail
3/1/2017 0:00,801112,2017,60,0,0,338.99,0,0.1
3/1/2017 0:01,801113,2017,60,0,1,338.99,0,0.1
3/1/2017 0:02,801114,2017,60,0,2,338.99,0,0.1
3/1/2017 0:03,801115,2017,60,0,3,338.99,0,0.1
3/1/2017 0:04,801116,2017,60,0,4,338.99,0,0.1
3/1/2017 0:05,801117,2017,60,0,5,338.99,0,0.1
3/1/2017 0:06,801118,2017,60,0,6,338.99,0,0.1
3/1/2017 0:07,801119,2017,60,0,7,338.99,0,0.1
3/1/2017 0:08,801120,2017,60,0,8,338.99,0,0.1
3/1/2017 0:09,801121,2017,60,0,9,338.99,0,0.1
3/1/2017 0:10,801122,2017,60,0,10,338.99,0,0.1
3/1/2017 0:11,801123,2017,60,0,11,338.99,0,0.1
3/1/2017 0:12,801124,2017,60,0,12,338.99,0,0.1
3/1/2017 0:13,801125,2017,60,0,13,338.99,0,0.1
3/1/2017 0:14,801126,2017,60,0,14,338.99,0,0.1
3/1/2017 0:15,801127,2017,60,0,15,338.99,0,0.1
3/1/2017 0:16,801128,2017,60,0,16,338.99,0,0.1
3/1/2017 0:17,801129,2017,60,0,17,338.99,0,0.1
3/1/2017 0:18,801130,2017,60,0,18,338.99,0,0.1
3/1/2017 0:19,801131,2017,60,0,19,338.99,0,0.1
3/1/2017 0:20,801132,2017,60,0,20,338.99,0,0.1
3/1/2017 0:21,801133,2017,60,0,21,338.99,0,0.1
3/1/2017 0:22,801134,2017,60,0,22,338.99,0,0.1
3/1/2017 0:23,801135,2017,60,0,23,338.99,0,0.1
3/1/2017 0:24,801136,2017,60,0,24,338.99,0,0.1
3/1/2017 0:25,801137,2017,60,0,25,338.99,0,0.1
3/1/2017 0:26,801138,2017,60,0,26,338.99,0,0.1
3/1/2017 0:27,801139,2017,60,0,27,338.99,0,0.1
3/1/2017 0:28,801140,2017,60,0,28,338.99,0,0.1
3/1/2017 0:29,801141,2017,60,0,29,338.99,0,0.1
3/1/2017 0:30,801142,2017,60,0,30,338.99,0,0.1
3/1/2017 0:31,801143,2017,60,0,31,338.99,0,0.1
3/1/2017 0:32,801144,2017,60,0,32,338.99,0,0.1
3/1/2017 0:33,801145,2017,60,0,33,338.99,0,0.1
3/1/2017 0:34,801146,2017,60,0,34,338.99,0,0.1
3/1/2017 0:35,801147,2017,60,0,35,338.99,0,0.1
3/1/2017 0:36,801148,2017,60,0,36,338.99,0,0.1
3/1/2017 0:37,801149,2017,60,0,37,338.99,0,0.1
3/1/2017 0:38,801150,2017,60,0,38,338.99,0,0.1
3/1/2017 0:39,801151,2017,60,0,39,338.99,0,0.1
3/1/2017 0:40,801152,2017,60,0,40,338.99,0,0.1
3/1/2017 0:41,801153,2017,60,0,41,338.99,0,0.1
3/1/2017 0:42,801154,2017,60,0,42,338.99,0,0.1
3/1/2017 0:43,801155,2017,60,0,43,338.99,0,0.1
3/1/2017 0:44,801156,2017,60,0,44,338.99,0,0.1
3/1/2017 0:45,801157,2017,60,0,45,338.99,0,0.1
3/1/2017 0:46,801158,2017,60,0,46,338.99,0,0.1
3/1/2017 0:47,801159,2017,60,0,47,338.99,0,0.1
3/1/2017 0:48,801160,2017,60,0,48,338.99,0,0.1
3/1/2017 0:49,801161,2017,60,0,49,338.99,0,0.1
3/1/2017 0:50,801162,2017,60,0,50,338.99,0,0.1
3/1/2017 0:51,801163,2017,60,0,51,338.99,0,0.1
3/1/2017 0:52,801164,2017,60,0,52,338.99,0,0.1
3/1/2017 0:53,801165,2017,60,0,53,338.99,0,0.1
3/1/2017 0:54,801166,2017,60,0,54,338.99,0,0.1
3/1/2017 0:55,801167,2017,60,0,55,338.99,0,0.1
3/1/2017 0:56,801168,2017,60,0,56,338.99,0,0.1
3/1/2017 0:57,801169,2017,60,0,57,338.99,0,0.1
3/1/2017 0:58,801170,2017,60,0,58,338.99,0,0.1
3/1/2017 0:59,801171,2017,60,0,59,338.99,0,0.1
3/1/2017 1:00,801172,2017,60,1,0,338.99,0,0.1
3/1/2017 1:01,801173,2017,60,1,1,338.99,0,0.1
3/1/2017 1:02,801174,2017,60,1,2,338.99,0,0.1
3/1/2017 1:03,801175,2017,60,1,3,338.99,0,0.1
3/1/2017 1:04,801176,2017,60,1,4,338.99,0,0.1
3/1/2017 1:05,801177,2017,60,1,5,338.99,0,0.1
